region_txt,event_count,total_killed,total_wounded,total_casualties
Middle East & North Africa,58252,149739.0,228820.0,378559.0
South Asia,54725,132037.0,169322.0,301359.0
Sub-Saharan Africa,23746,100557.0,62845.0,163402.0
South America,19846,29388.0,17500.0,46888.0
Western Europe,17328,6709.0,18773.0,25482.0
Southeast Asia,14498,17109.0,28394.0,45503.0
Central America & Caribbean,10386,28730.0,8988.0,37718.0
Eastern Europe,5326,7483.0,12132.0,19615.0
North America,3847,5153.0,27260.0,32413.0
East Asia,847,1154.0,9237.0,10391.0
Central Asia,580,1084.0,2021.0,3105.0
Australasia & Oceania,325,205.0,314.0,519.0
