country_txt,event_count,total_killed,total_wounded,total_casualties
Iraq,27521,81675.0,139428.0,221103.0
Afghanistan,18920,67549.0,67242.0,134791.0
Pakistan,15504,25259.0,44877.0,70136.0
India,13929,20358.0,30694.0,51052.0
Colombia,8915,15135.0,10903.0,26038.0
Philippines,8271,10680.0,14703.0,25383.0
Peru,6111,12778.0,4092.0,16870.0
Yemen,6027,12842.0,13461.0,26303.0
Nigeria,5550,29093.0,12638.0,41731.0
United Kingdom,5513,3426.0,6321.0,9747.0
El Salvador,5320,12053.0,5062.0,17115.0
Somalia,5317,13175.0,11225.0,24400.0
Turkey,4485,7123.0,10447.0,17570.0
Thailand,4201,2901.0,8191.0,11092.0
Spain,3255,1289.0,4937.0,6226.0
